Trace

0x00000000  brai    80
0x00000410  mul     r3, r4, r3
0x00000414  addik   r3, r3, 32767
0x00000418  bsrai   r3, r3, 528
0x0000041c  shi     r3, r19, 120
0x00000420  lhui    r3, r19, 112
0x00000424  sext16  r4, r3
0x00000428  lhui    r3, r19, 36
0x0000042c  mul     r3, r4, r3
0x00000430  addik   r3, r3, 32767
0x00000434  bsrai   r3, r3, 528
0x00000438  shi     r3, r19, 116
0x0000043c  lwi     r4, r19, 76
0x00000440  lwi     r3, r19, 80
0x00000444  addk    r3, r4, r3
0x00000448  swi     r3, r19, 88
0x0000044c  lwi     r4, r19, 76
0x00000450  lwi     r3, r19, 80
0x00000454  rsubk   r3, r3, r4
0x00000458  swi     r3, r19, 92
0x0000045c  lhui    r4, r19, 40
0x00000460  lhui    r3, r19, 86
0x00000464  sext16  r3, r3
0x00000468  mul     r5, r4, r3
0x0000046c  lhui    r4, r19, 38
0x00000470  lhui    r3, r19, 84
0x00000474  sext16  r3, r3
0x00000478  mul     r3, r4, r3
0x0000047c  addk    r3, r5, r3
0x00000480  swi     r3, r19, 100
0x00000484  lhui    r4, r19, 40
0x00000488  lhui    r3, r19, 84
0x0000048c  sext16  r3, r3
0x00000490  mul     r5, r4, r3
0x00000494  lhui    r4, r19, 38
0x00000498  lhui    r3, r19, 86
0x0000049c  sext16  r3, r3
0x000004a0  mul     r3, r4, r3
0x000004a4  rsubk   r3, r3, r5
0x000004a8  swi     r3, r19, 96
0x000004ac  lhui    r4, r19, 118
0x000004b0  lhui    r3, r19, 116
0x000004b4  addk    r3, r4, r3
0x000004b8  shi     r3, r19, 126
0x000004bc  lhui    r4, r19, 118
0x000004c0  lhui    r3, r19, 116
0x000004c4  rsubk   r3, r3, r4
0x000004c8  shi     r3, r19, 124
0x000004cc  lhui    r4, r19, 122
0x000004d0  lhui    r3, r19, 120
0x000004d4  addk    r3, r4, r3
0x000004d8  shi     r3, r19, 130
0x000004dc  lhui    r4, r19, 122
0x000004e0  lhui    r3, r19, 120
0x000004e4  rsubk   r3, r3, r4
0x000004e8  shi     r3, r19, 128
0x000004ec  lwi     r3, r19, 88
0x000004f0  swi     r3, r19, 132
0x000004f4  lwi     r3, r19, 92
0x000004f8  swi     r3, r19, 148
0x000004fc  lwi     r3, r19, 100
0x00000500  swi     r3, r19, 140
0x00000504  lwi     r3, r19, 96
0x00000508  swi     r3, r19, 156
0x0000050c  lhui    r4, r19, 34
0x00000510  lhui    r3, r19, 126
0x00000514  sext16  r3, r3
0x00000518  mul     r5, r4, r3
0x0000051c  lhui    r4, r19, 28
0x00000520  lhui    r3, r19, 130
0x00000524  sext16  r3, r3
0x00000528  mul     r3, r4, r3
0x0000052c  addk    r3, r5, r3
0x00000530  swi     r3, r19, 136
0x00000534  lhui    r4, r19, 34
0x00000538  lhui    r3, r19, 130
0x0000053c  sext16  r3, r3
0x00000540  mul     r5, r4, r3
0x00000544  lhui    r4, r19, 28
0x00000548  lhui    r3, r19, 126
0x0000054c  sext16  r3, r3
0x00000550  mul     r3, r4, r3
0x00000554  rsubk   r3, r3, r5
0x00000558  swi     r3, r19, 160
0x0000055c  lhui    r4, r19, 30
0x00000560  lhui    r3, r19, 124
0x00000564  sext16  r3, r3
0x00000568  mul     r5, r4, r3
0x0000056c  lhui    r4, r19, 32
0x00000570  lhui    r3, r19, 128
0x00000574  sext16  r3, r3
0x00000578  mul     r3, r4, r3
0x0000057c  addk    r3, r5, r3
0x00000580  swi     r3, r19, 152
0x00000584  lhui    r4, r19, 30
0x00000588  lhui    r3, r19, 128
0x0000058c  sext16  r3, r3
0x00000590  mul     r5, r4, r3
0x00000594  lhui    r4, r19, 32
0x00000598  lhui    r3, r19, 124
0x0000059c  sext16  r3, r3
0x000005a0  mul     r3, r4, r3
0x000005a4  rsubk   r3, r3, r5
0x000005a8  swi     r3, r19, 144
0x000005ac  lwi     r4, r19, 204
0x000005b0  addk    r3, r4, r0
0x000005b4  addk    r4, r3, r4
0x000005b8  addik   r3, r0, 7708
0x000005bc  addk    r4, r4, r3
0x000005c0  lwi     r3, r19, 132
0x000005c4  sh      r3, r0, r4
0x000005c8  lwi     r4, r19, 204
0x000005cc  addk    r3, r4, r0
0x000005d0  addk    r4, r3, r4
0x000005d4  addik   r3, r0, 7724
0x000005d8  addk    r4, r4, r3
0x000005dc  lwi     r3, r19, 136
0x000005e0  bsrai   r3, r3, 525
0x000005e4  sh      r3, r0, r4
0x000005e8  lwi     r4, r19, 204
0x000005ec  addk    r3, r4, r0
0x000005f0  addk    r4, r3, r4
0x000005f4  addik   r3, r0, 7740
0x000005f8  addk    r4, r4, r3
0x000005fc  lwi     r3, r19, 140
0x00000600  bsrai   r3, r3, 525
0x00000604  sh      r3, r0, r4
0x00000608  lwi     r4, r19, 204
0x0000060c  addk    r3, r4, r0
0x00000610  addk    r4, r3, r4
0x00000614  addik   r3, r0, 7756
0x00000618  addk    r4, r4, r3
0x0000061c  lwi     r3, r19, 144
0x00000620  bsrai   r3, r3, 525
0x00000624  sh      r3, r0, r4
0x00000628  lwi     r4, r19, 204
0x0000062c  addk    r3, r4, r0
0x00000630  addk    r4, r3, r4
0x00000634  addik   r3, r0, 7772
0x00000638  addk    r4, r4, r3
0x0000063c  lwi     r3, r19, 148
0x00000640  sh      r3, r0, r4
0x00000644  lwi     r4, r19, 204
0x00000648  addk    r3, r4, r0
0x0000064c  addk    r4, r3, r4
0x00000650  addik   r3, r0, 7788
0x00000654  addk    r4, r4, r3
0x00000658  lwi     r3, r19, 152
0x0000065c  bsrai   r3, r3, 525
0x00000660  sh      r3, r0, r4
0x00000664  lwi     r4, r19, 204
0x00000668  addk    r3, r4, r0
0x0000066c  addk    r4, r3, r4
0x00000670  addik   r3, r0, 7804
0x00000674  addk    r4, r4, r3
0x00000678  lwi     r3, r19, 156
0x0000067c  bsrai   r3, r3, 525
0x00000680  sh      r3, r0, r4
0x00000684  lwi     r4, r19, 204
0x00000688  addk    r3, r4, r0
0x0000068c  addk    r4, r3, r4
0x00000690  addik   r3, r0, 7820
0x00000694  addk    r4, r4, r3
0x00000698  lwi     r3, r19, 160
0x0000069c  bsrai   r3, r3, 525
0x000006a0  sh      r3, r0, r4
0x000006a4  lwi     r3, r19, 204
0x000006a8  addik   r3, r3, 1
0x000006ac  swi     r3, r19, 204
0x000006b0  lwi     r3, r19, 200
0x000006b4  addik   r3, r3, 1
0x000006b8  swi     r3, r19, 200
0x000006bc  bri     -1224
0x000001f4  lwi     r3, r19, 200
0x000001f8  addi    r18, r0, 7
0x000001fc  cmpu    r18, r3, r18
0x00000200  blti    r18, 1216
0x00000204  lwi     r4, r19, 204
0x00000208  addk    r3, r4, r0
0x0000020c  addk    r4, r3, r4
0x00000210  addik   r3, r0, 7196
0x00000214  addk    r3, r4, r3
0x00000218  lhu     r3, r0, r3
0x0000021c  shi     r3, r19, 42
0x00000220  lwi     r4, r19, 204
0x00000224  addk    r3, r4, r0
0x00000228  addk    r4, r3, r4
0x0000022c  addik   r3, r0, 7212
0x00000230  addk    r3, r4, r3
0x00000234  lhu     r3, r0, r3
0x00000238  shi     r3, r19, 44
0x0000023c  lwi     r4, r19, 204
0x00000240  addk    r3, r4, r0
0x00000244  addk    r4, r3, r4
0x00000248  addik   r3, r0, 7228
0x0000024c  addk    r3, r4, r3
0x00000250  lhu     r3, r0, r3
0x00000254  shi     r3, r19, 46
0x00000258  lwi     r4, r19, 204
0x0000025c  addk    r3, r4, r0
0x00000260  addk    r4, r3, r4
0x00000264  addik   r3, r0, 7244
0x00000268  addk    r3, r4, r3
0x0000026c  lhu     r3, r0, r3
0x00000270  shi     r3, r19, 48
0x00000274  lwi     r4, r19, 204
0x00000278  addk    r3, r4, r0
0x0000027c  addk    r4, r3, r4
0x00000280  addik   r3, r0, 7260
0x00000284  addk    r3, r4, r3
0x00000288  lhu     r3, r0, r3
0x0000028c  shi     r3, r19, 50
0x00000290  lwi     r4, r19, 204
0x00000294  addk    r3, r4, r0
0x00000298  addk    r4, r3, r4
0x0000029c  addik   r3, r0, 7276
0x000002a0  addk    r3, r4, r3
0x000002a4  lhu     r3, r0, r3
0x000002a8  shi     r3, r19, 52
0x000002ac  lwi     r4, r19, 204
0x000002b0  addk    r3, r4, r0
0x000002b4  addk    r4, r3, r4
0x000002b8  addik   r3, r0, 7292
0x000002bc  addk    r3, r4, r3
0x000002c0  lhu     r3, r0, r3
0x000002c4  shi     r3, r19, 54
0x000002c8  lwi     r4, r19, 204
0x000002cc  addk    r3, r4, r0
0x000002d0  addk    r4, r3, r4
0x000002d4  addik   r3, r0, 7308
0x000002d8  addk    r3, r4, r3
0x000002dc  lhu     r3, r0, r3
0x000002e0  shi     r3, r19, 56
0x000002e4  lhui    r3, r19, 42
0x000002e8  sext16  r4, r3
0x000002ec  lhui    r3, r19, 56
0x000002f0  sext16  r3, r3
0x000002f4  addk    r3, r4, r3
0x000002f8  swi     r3, r19, 60
0x000002fc  lhui    r4, r19, 42
0x00000300  lhui    r3, r19, 56
0x00000304  rsubk   r3, r3, r4
0x00000308  shi     r3, r19, 108
0x0000030c  lhui    r3, r19, 44
0x00000310  sext16  r4, r3
0x00000314  lhui    r3, r19, 54
0x00000318  sext16  r3, r3
0x0000031c  addk    r3, r4, r3
0x00000320  swi     r3, r19, 64
0x00000324  lhui    r4, r19, 44
0x00000328  lhui    r3, r19, 54
0x0000032c  rsubk   r3, r3, r4
0x00000330  shi     r3, r19, 110
0x00000334  lhui    r3, r19, 46
0x00000338  sext16  r4, r3
0x0000033c  lhui    r3, r19, 52
0x00000340  sext16  r3, r3
0x00000344  addk    r3, r4, r3
0x00000348  swi     r3, r19, 72
0x0000034c  lhui    r4, r19, 46
0x00000350  lhui    r3, r19, 52
0x00000354  rsubk   r3, r3, r4
0x00000358  shi     r3, r19, 106
0x0000035c  lhui    r3, r19, 48
0x00000360  sext16  r4, r3
0x00000364  lhui    r3, r19, 50
0x00000368  sext16  r3, r3
0x0000036c  addk    r3, r4, r3
0x00000370  swi     r3, r19, 68
0x00000374  lhui    r4, r19, 48
0x00000378  lhui    r3, r19, 50
0x0000037c  rsubk   r3, r3, r4
0x00000380  shi     r3, r19, 104
0x00000384  lwi     r4, r19, 60
0x00000388  lwi     r3, r19, 68
0x0000038c  addk    r3, r4, r3
0x00000390  swi     r3, r19, 76
0x00000394  lwi     r3, r19, 60
0x00000398  lwi     r4, r19, 68
0x0000039c  addk    r5, r3, r0
0x000003a0  addk    r3, r4, r0
0x000003a4  rsubk   r3, r3, r5
0x000003a8  shi     r3, r19, 84
0x000003ac  lwi     r4, r19, 64
0x000003b0  lwi     r3, r19, 72
0x000003b4  addk    r3, r4, r3
0x000003b8  swi     r3, r19, 80
0x000003bc  lwi     r3, r19, 64
0x000003c0  lwi     r4, r19, 72
0x000003c4  addk    r5, r3, r0
0x000003c8  addk    r3, r4, r0
0x000003cc  rsubk   r3, r3, r5
0x000003d0  shi     r3, r19, 86
0x000003d4  lhui    r3, r19, 104
0x000003d8  shi     r3, r19, 118
0x000003dc  lhui    r3, r19, 108
0x000003e0  shi     r3, r19, 122
0x000003e4  lhui    r4, r19, 110
0x000003e8  lhui    r3, r19, 106
0x000003ec  addk    r3, r4, r3
0x000003f0  shi     r3, r19, 114
0x000003f4  lhui    r4, r19, 110
0x000003f8  lhui    r3, r19, 106
0x000003fc  rsubk   r3, r3, r4
0x00000400  shi     r3, r19, 112
0x00000404  lhui    r3, r19, 114
0x00000408  sext16  r4, r3
0x0000040c  lhui    r3, r19, 36
0x00000410  mul     r3, r4, r3
0x00000414  addik   r3, r3, 32767
0x00000418  bsrai   r3, r3, 528
0x0000041c  shi     r3, r19, 120
0x00000420  lhui    r3, r19, 112
0x00000424  sext16  r4, r3
0x00000428  lhui    r3, r19, 36
0x0000042c  mul     r3, r4, r3
0x00000430  addik   r3, r3, 32767
0x00000434  bsrai   r3, r3, 528
0x00000438  shi     r3, r19, 116
0x0000043c  lwi     r4, r19, 76
0x00000440  lwi     r3, r19, 80
0x00000444  addk    r3, r4, r3
0x00000448  swi     r3, r19, 88
0x0000044c  lwi     r4, r19, 76
0x00000450  lwi     r3, r19, 80
0x00000454  rsubk   r3, r3, r4
0x00000458  swi     r3, r19, 92
0x0000045c  lhui    r4, r19, 40
0x00000460  lhui    r3, r19, 86
0x00000464  sext16  r3, r3
0x00000468  mul     r5, r4, r3
0x0000046c  lhui    r4, r19, 38
0x00000470  lhui    r3, r19, 84
0x00000474  sext16  r3, r3
0x00000478  mul     r3, r4, r3
0x0000047c  addk    r3, r5, r3
0x00000480  swi     r3, r19, 100
0x00000484  lhui    r4, r19, 40
0x00000488  lhui    r3, r19, 84
0x0000048c  sext16  r3, r3
0x00000490  mul     r5, r4, r3
0x00000494  lhui    r4, r19, 38
0x00000498  lhui    r3, r19, 86
0x0000049c  sext16  r3, r3
0x000004a0  mul     r3, r4, r3
0x000004a4  rsubk   r3, r3, r5
0x000004a8  swi     r3, r19, 96
0x000004ac  lhui    r4, r19, 118
0x000004b0  lhui    r3, r19, 116
0x000004b4  addk    r3, r4, r3
0x000004b8  shi     r3, r19, 126
0x000004bc  lhui    r4, r19, 118
0x000004c0  lhui    r3, r19, 116
0x000004c4  rsubk   r3, r3, r4
0x000004c8  shi     r3, r19, 124
0x000004cc  lhui    r4, r19, 122
0x000004d0  lhui    r3, r19, 120
0x000004d4  addk    r3, r4, r3
0x000004d8  shi     r3, r19, 130
0x000004dc  lhui    r4, r19, 122
0x000004e0  lhui    r3, r19, 120
0x000004e4  rsubk   r3, r3, r4
0x000004e8  shi     r3, r19, 128
0x000004ec  lwi     r3, r19, 88
0x000004f0  swi     r3, r19, 132
0x000004f4  lwi     r3, r19, 92
0x000004f8  swi     r3, r19, 148
0x000004fc  lwi     r3, r19, 100
0x00000500  swi     r3, r19, 140
0x00000504  lwi     r3, r19, 96
0x00000508  swi     r3, r19, 156
0x0000050c  lhui    r4, r19, 34
0x00000510  lhui    r3, r19, 126
0x00000514  sext16  r3, r3
0x00000518  mul     r5, r4, r3
0x0000051c  lhui    r4, r19, 28
0x00000520  lhui    r3, r19, 130
0x00000524  sext16  r3, r3
0x00000528  mul     r3, r4, r3
0x0000052c  addk    r3, r5, r3
0x00000530  swi     r3, r19, 136
0x00000534  lhui    r4, r19, 34
0x00000538  lhui    r3, r19, 130
0x0000053c  sext16  r3, r3
0x00000540  mul     r5, r4, r3
0x00000544  lhui    r4, r19, 28
0x00000548  lhui    r3, r19, 126
0x0000054c  sext16  r3, r3
0x00000550  mul     r3, r4, r3
0x00000554  rsubk   r3, r3, r5
0x00000558  swi     r3, r19, 160
0x0000055c  lhui    r4, r19, 30
0x00000560  lhui    r3, r19, 124
0x00000564  sext16  r3, r3
0x00000568  mul     r5, r4, r3
0x0000056c  lhui    r4, r19, 32
0x00000570  lhui    r3, r19, 128
0x00000574  sext16  r3, r3
0x00000578  mul     r3, r4, r3
0x0000057c  addk    r3, r5, r3
0x00000580  swi     r3, r19, 152
0x00000584  lhui    r4, r19, 30
0x00000588  lhui    r3, r19, 128
0x0000058c  sext16  r3, r3
0x00000590  mul     r5, r4, r3
0x00000594  lhui    r4, r19, 32
0x00000598  lhui    r3, r19, 124
0x0000059c  sext16  r3, r3
0x000005a0  mul     r3, r4, r3
0x000005a4  rsubk   r3, r3, r5
0x000005a8  swi     r3, r19, 144
0x000005ac  lwi     r4, r19, 204
0x000005b0  addk    r3, r4, r0
0x000005b4  addk    r4, r3, r4
0x000005b8  addik   r3, r0, 7708
0x000005bc  addk    r4, r4, r3
0x000005c0  lwi     r3, r19, 132
0x000005c4  sh      r3, r0, r4
0x000005c8  lwi     r4, r19, 204
0x000005cc  addk    r3, r4, r0
0x000005d0  addk    r4, r3, r4
0x000005d4  addik   r3, r0, 7724
0x000005d8  addk    r4, r4, r3
0x000005dc  lwi     r3, r19, 136
0x000005e0  bsrai   r3, r3, 525
0x000005e4  sh      r3, r0, r4
0x000005e8  lwi     r4, r19, 204
0x000005ec  addk    r3, r4, r0
0x000005f0  addk    r4, r3, r4
0x000005f4  addik   r3, r0, 7740
0x000005f8  addk    r4, r4, r3
0x000005fc  lwi     r3, r19, 140
0x00000600  bsrai   r3, r3, 525
0x00000604  sh      r3, r0, r4
0x00000608  lwi     r4, r19, 204
0x0000060c  addk    r3, r4, r0
0x00000610  addk    r4, r3, r4
0x00000614  addik   r3, r0, 7756
0x00000618  addk    r4, r4, r3
0x0000061c  lwi     r3, r19, 144
0x00000620  bsrai   r3, r3, 525
0x00000624  sh      r3, r0, r4
0x00000628  lwi     r4, r19, 204
0x0000062c  addk    r3, r4, r0
0x00000630  addk    r4, r3, r4
0x00000634  addik   r3, r0, 7772
0x00000638  addk    r4, r4, r3
0x0000063c  lwi     r3, r19, 148
0x00000640  sh      r3, r0, r4
0x00000644  lwi     r4, r19, 204
0x00000648  addk    r3, r4, r0
0x0000064c  addk    r4, r3, r4
0x00000650  addik   r3, r0, 7788
0x00000654  addk    r4, r4, r3
0x00000658  lwi     r3, r19, 152
0x0000065c  bsrai   r3, r3, 525
0x00000660  sh      r3, r0, r4
0x00000664  lwi     r4, r19, 204
0x00000668  addk    r3, r4, r0
0x0000066c  addk    r4, r3, r4
0x00000670  addik   r3, r0, 7804
0x00000674  addk    r4, r4, r3
0x00000678  lwi     r3, r19, 156
0x0000067c  bsrai   r3, r3, 525
0x00000680  sh      r3, r0, r4
0x00000684  lwi     r4, r19, 204
0x00000688  addk    r3, r4, r0
0x0000068c  addk    r4, r3, r4
0x00000690  addik   r3, r0, 7820
0x00000694  addk    r4, r4, r3
0x00000698  lwi     r3, r19, 160
0x0000069c  bsrai   r3, r3, 525
0x000006a0  sh      r3, r0, r4
0x000006a4  lwi     r3, r19, 204
0x000006a8  addik   r3, r3, 1
0x000006ac  swi     r3, r19, 204
0x000006b0  lwi     r3, r19, 200
0x000006b4  addik   r3, r3, 1
0x000006b8  swi     r3, r19, 200
0x000006bc  bri     -1224
0x000001f4  lwi     r3, r19, 200
0x000001f8  addi    r18, r0, 7
0x000001fc  cmpu    r18, r3, r18
0x00000200  blti    r18, 1216
0x000006c0  lwi     r3, r19, 204
0x000006c4  addik   r3, r3, 56
0x000006c8  swi     r3, r19, 204
0x000006cc  lwi     r3, r19, 196
0x000006d0  addik   r3, r3, 1
0x000006d4  swi     r3, r19, 196
0x000006d8  bri     -1272
0x000001e0  lwi     r3, r19, 196
0x000001e4  addi    r18, r0, 3
0x000001e8  cmpu    r18, r3, r18
0x000001ec  blti    r18, 1264
0x000001f0  swi     r0, r19, 200
0x000001f4  lwi     r3, r19, 200
0x000001f8  addi    r18, r0, 7
0x000001fc  cmpu    r18, r3, r18
0x00000200  blti    r18, 1216
0x00000204  lwi     r4, r19, 204
0x00000208  addk    r3, r4, r0
0x0000020c  addk    r4, r3, r4
0x00000210  addik   r3, r0, 7196
0x00000214  addk    r3, r4, r3
0x00000218  lhu     r3, r0, r3
0x0000021c  shi     r3, r19, 42
0x00000220  lwi     r4, r19, 204
0x00000224  addk    r3, r4, r0
0x00000228  addk    r4, r3, r4
0x0000022c  addik   r3, r0, 7212
0x00000230  addk    r3, r4, r3
0x00000234  lhu     r3, r0, r3
0x00000238  shi     r3, r19, 44
0x0000023c  lwi     r4, r19, 204
0x00000240  addk    r3, r4, r0
0x00000244  addk    r4, r3, r4
0x00000248  addik   r3, r0, 7228
0x0000024c  addk    r3, r4, r3
0x00000250  lhu     r3, r0, r3
0x00000254  shi     r3, r19, 46
0x00000258  lwi     r4, r19, 204
0x0000025c  addk    r3, r4, r0
0x00000260  addk    r4, r3, r4
0x00000264  addik   r3, r0, 7244
0x00000268  addk    r3, r4, r3
0x0000026c  lhu     r3, r0, r3
0x00000270  shi     r3, r19, 48
0x00000274  lwi     r4, r19, 204
0x00000278  addk    r3, r4, r0
0x0000027c  addk    r4, r3, r4
0x00000280  addik   r3, r0, 7260
0x00000284  addk    r3, r4, r3
0x00000288  lhu     r3, r0, r3
0x0000028c  shi     r3, r19, 50
0x00000290  lwi     r4, r19, 204
0x00000294  addk    r3, r4, r0
0x00000298  addk    r4, r3, r4
0x0000029c  addik   r3, r0, 7276
0x000002a0  addk    r3, r4, r3
0x000002a4  lhu     r3, r0, r3
0x000002a8  shi     r3, r19, 52
0x000002ac  lwi     r4, r19, 204
0x000002b0  addk    r3, r4, r0
0x000002b4  addk    r4, r3, r4
0x000002b8  addik   r3, r0, 7292
0x000002bc  addk    r3, r4, r3
0x000002c0  lhu     r3, r0, r3
0x000002c4  shi     r3, r19, 54
0x000002c8  lwi     r4, r19, 204
0x000002cc  addk    r3, r4, r0
0x000002d0  addk    r4, r3, r4
0x000002d4  addik   r3, r0, 7308
0x000002d8  addk    r3, r4, r3
0x000002dc  lhu     r3, r0, r3
0x000002e0  shi     r3, r19, 56
0x000002e4  lhui    r3, r19, 42
0x000002e8  sext16  r4, r3
0x000002ec  lhui    r3, r19, 56
0x000002f0  sext16  r3, r3
0x000002f4  addk    r3, r4, r3
0x000002f8  swi     r3, r19, 60
0x000002fc  lhui    r4, r19, 42
0x00000300  lhui    r3, r19, 56
0x00000304  rsubk   r3, r3, r4
0x00000308  shi     r3, r19, 108
0x0000030c  lhui    r3, r19, 44
0x00000310  sext16  r4, r3
0x00000314  lhui    r3, r19, 54
0x00000318  sext16  r3, r3
0x0000031c  addk    r3, r4, r3
0x00000320  swi     r3, r19, 64
0x00000324  lhui    r4, r19, 44
0x00000328  lhui    r3, r19, 54
0x0000032c  rsubk   r3, r3, r4
0x00000330  shi     r3, r19, 110
0x00000334  lhui    r3, r19, 46
0x00000338  sext16  r4, r3
0x0000033c  lhui    r3, r19, 52
0x00000340  sext16  r3, r3
0x00000344  addk    r3, r4, r3
0x00000348  swi     r3, r19, 72
0x0000034c  lhui    r4, r19, 46
0x00000350  lhui    r3, r19, 52
0x00000354  rsubk   r3, r3, r4
0x00000358  shi     r3, r19, 106
0x0000035c  lhui    r3, r19, 48
0x00000360  sext16  r4, r3
0x00000364  lhui    r3, r19, 50
0x00000368  sext16  r3, r3
0x0000036c  addk    r3, r4, r3
0x00000370  swi     r3, r19, 68
0x00000374  lhui    r4, r19, 48
0x00000378  lhui    r3, r19, 50
0x0000037c  rsubk   r3, r3, r4
0x00000380  shi     r3, r19, 104
0x00000384  lwi     r4, r19, 60
0x00000388  lwi     r3, r19, 68
0x0000038c  addk    r3, r4, r3
0x00000390  swi     r3, r19, 76
0x00000394  lwi     r3, r19, 60
0x00000398  lwi     r4, r19, 68
0x0000039c  addk    r5, r3, r0
0x000003a0  addk    r3, r4, r0
0x000003a4  rsubk   r3, r3, r5
0x000003a8  shi     r3, r19, 84
0x000003ac  lwi     r4, r19, 64
0x000003b0  lwi     r3, r19, 72
0x000003b4  addk    r3, r4, r3
0x000003b8  swi     r3, r19, 80
0x000003bc  lwi     r3, r19, 64
0x000003c0  lwi     r4, r19, 72
0x000003c4  addk    r5, r3, r0
0x000003c8  addk    r3, r4, r0
0x000003cc  rsubk   r3, r3, r5
0x000003d0  shi     r3, r19, 86
0x000003d4  lhui    r3, r19, 104
0x000003d8  shi     r3, r19, 118
0x000003dc  lhui    r3, r19, 108
0x000003e0  shi     r3, r19, 122
0x000003e4  lhui    r4, r19, 110
0x000003e8  lhui    r3, r19, 106
0x000003ec  addk    r3, r4, r3
0x000003f0  shi     r3, r19, 114
0x000003f4  lhui    r4, r19, 110
0x000003f8  lhui    r3, r19, 106
0x000003fc  rsubk   r3, r3, r4
0x00000400  shi     r3, r19, 112
0x00000404  lhui    r3, r19, 114
0x00000408  sext16  r4, r3
0x0000040c  lhui    r3, r19, 36
0x00000410  mul     r3, r4, r3
0x00000414  addik   r3, r3, 32767
0x00000418  bsrai   r3, r3, 528
0x0000041c  shi     r3, r19, 120
0x00000420  lhui    r3, r19, 112
0x00000424  sext16  r4, r3
0x00000428  lhui    r3, r19, 36
0x0000042c  mul     r3, r4, r3
0x00000430  addik   r3, r3, 32767
0x00000434  bsrai   r3, r3, 528
0x00000438  shi     r3, r19, 116
0x0000043c  lwi     r4, r19, 76
0x00000440  lwi     r3, r19, 80
0x00000444  addk    r3, r4, r3
0x00000448  swi     r3, r19, 88
0x0000044c  lwi     r4, r19, 76
0x00000450  lwi     r3, r19, 80
0x00000454  rsubk   r3, r3, r4
0x00000458  swi     r3, r19, 92
0x0000045c  lhui    r4, r19, 40
0x00000460  lhui    r3, r19, 86
0x00000464  sext16  r3, r3
0x00000468  mul     r5, r4, r3
0x0000046c  lhui    r4, r19, 38
0x00000470  lhui    r3, r19, 84
0x00000474  sext16  r3, r3
0x00000478  mul     r3, r4, r3
0x0000047c  addk    r3, r5, r3
0x00000480  swi     r3, r19, 100
0x00000484  lhui    r4, r19, 40
0x00000488  lhui    r3, r19, 84
0x0000048c  sext16  r3, r3
0x00000490  mul     r5, r4, r3
0x00000494  lhui    r4, r19, 38
0x00000498  lhui    r3, r19, 86
0x0000049c  sext16  r3, r3
0x000004a0  mul     r3, r4, r3
0x000004a4  rsubk   r3, r3, r5
0x000004a8  swi     r3, r19, 96
0x000004ac  lhui    r4, r19, 118
0x000004b0  lhui    r3, r19, 116
0x000004b4  addk    r3, r4, r3
0x000004b8  shi     r3, r19, 126
0x000004bc  lhui    r4, r19, 118
0x000004c0  lhui    r3, r19, 116
0x000004c4  rsubk   r3, r3, r4
0x000004c8  shi     r3, r19, 124
0x000004cc  lhui    r4, r19, 122
0x000004d0  lhui    r3, r19, 120
0x000004d4  addk    r3, r4, r3
0x000004d8  shi     r3, r19, 130
0x000004dc  lhui    r4, r19, 122
0x000004e0  lhui    r3, r19, 120
0x000004e4  rsubk   r3, r3, r4
0x000004e8  shi     r3, r19, 128
0x000004ec  lwi     r3, r19, 88
0x000004f0  swi     r3, r19, 132
0x000004f4  lwi     r3, r19, 92
0x000004f8  swi     r3, r19, 148
0x000004fc  lwi     r3, r19, 100
0x00000500  swi     r3, r19, 140
0x00000504  lwi     r3, r19, 96
0x00000508  swi     r3, r19, 156
0x0000050c  lhui    r4, r19, 34
0x00000510  lhui    r3, r19, 126
0x00000514  sext16  r3, r3
0x00000518  mul     r5, r4, r3
0x0000051c  lhui    r4, r19, 28
0x00000520  lhui    r3, r19, 130
0x00000524  sext16  r3, r3
0x00000528  mul     r3, r4, r3
0x0000052c  addk    r3, r5, r3
0x00000530  swi     r3, r19, 136
0x00000534  lhui    r4, r19, 34
0x00000538  lhui    r3, r19, 130
0x0000053c  sext16  r3, r3
0x00000540  mul     r5, r4, r3
0x00000544  lhui    r4, r19, 28
0x00000548  lhui    r3, r19, 126
0x0000054c  sext16  r3, r3
0x00000550  mul     r3, r4, r3
0x00000554  rsubk   r3, r3, r5
0x00000558  swi     r3, r19, 160
0x0000055c  lhui    r4, r19, 30
0x00000560  lhui    r3, r19, 124
0x00000564  sext16  r3, r3
0x00000568  mul     r5, r4, r3
0x0000056c  lhui    r4, r19, 32
0x00000570  lhui    r3, r19, 128
0x00000574  sext16  r3, r3
0x00000578  mul     r3, r4, r3
0x0000057c  addk    r3, r5, r3
0x00000580  swi     r3, r19, 152
0x00000584  lhui    r4, r19, 30
0x00000588  lhui    r3, r19, 128
0x0000058c  sext16  r3, r3
0x00000590  mul     r5, r4, r3
0x00000594  lhui    r4, r19, 32
0x00000598  lhui    r3, r19, 124
0x0000059c  sext16  r3, r3
0x000005a0  mul     r3, r4, r3
0x000005a4  rsubk   r3, r3, r5
0x000005a8  swi     r3, r19, 144
0x000005ac  lwi     r4, r19, 204
0x000005b0  addk    r3, r4, r0
0x000005b4  addk    r4, r3, r4
0x000005b8  addik   r3, r0, 7708
0x000005bc  addk    r4, r4, r3
0x000005c0  lwi     r3, r19, 132
0x000005c4  sh      r3, r0, r4
