Trace

0x000003f4  imm     4369
0x000003f8  addik   r3, r0, 4369
0x000003fc  swi     r3, r4, 4
0x00000400  addk    r3, r0, r0
0x00000404  swi     r3, r19, 40
0x00000408  lwi     r3, r19, 40
0x0000040c  lw      r15, r0, r1
0x00000410  addk    r1, r19, r0
0x00000414  lwi     r19, r1, 60
0x00000418  addik   r1, r1, 64
0x0000041c  rtsd    r15, 8
0x00000420  or      r0, r0, r0
0x0000018c  addik   r3, r19, 40
0x00000190  addk    r5, r3, r0
0x00000194  addk    r6, r0, r0
0x00000198  brlid   r15, 652
0x0000019c  or      r0, r0, r0
0x00000424  addik   r1, r1, -16
0x00000428  sw      r15, r0, r1
0x0000042c  swi     r19, r1, 12
0x00000430  addk    r19, r1, r0
0x00000434  swi     r5, r19, 20
0x00000438  addk    r3, r6, r0
0x0000043c  sbi     r3, r19, 24
0x00000440  lwi     r5, r19, 20
0x00000444  lbui    r3, r19, 24
0x00000448  lbui    r4, r3, 4692
0x0000044c  lw      r3, r0, r5
0x00000450  addk    r3, r4, r3
0x00000454  lw      r3, r0, r3
0x00000458  swi     r3, r19, 4
0x0000045c  lwi     r5, r19, 20
0x00000460  lbui    r3, r19, 24
0x00000464  lbui    r4, r3, 4692
0x00000468  lw      r3, r0, r5
0x0000046c  addk    r4, r4, r3
0x00000470  addik   r3, r0, 288
0x00000474  sw      r3, r0, r4
0x00000478  lwi     r5, r19, 20
0x0000047c  lbui    r3, r19, 24
0x00000480  lbui    r4, r3, 4692
0x00000484  lw      r3, r0, r5
0x00000488  addk    r4, r4, r3
0x0000048c  lwi     r3, r19, 4
0x00000490  ori     r3, r3, 128
0x00000494  sw      r3, r0, r4
0x00000498  lw      r15, r0, r1
0x0000049c  addk    r1, r19, r0
0x000004a0  lwi     r19, r1, 12
0x000004a4  addik   r1, r1, 16
0x000004a8  rtsd    r15, 8
0x000004ac  or      r0, r0, r0
0x000001a0  swi     r0, r19, 28
0x000001a4  lwi     r3, r19, 28
0x000001a8  addik   r18, r0, 15
0x000001ac  cmp     r18, r3, r18
0x000001b0  blti    r18, 172
0x000001b4  swi     r0, r19, 36
0x000001b8  swi     r0, r19, 32
0x000001bc  lwi     r3, r19, 32
0x000001c0  addik   r18, r0, 159
0x000001c4  cmp     r18, r3, r18
0x000001c8  blti    r18, 100
0x000001cc  lwi     r4, r19, 32
0x000001d0  addk    r3, r4, r0
0x000001d4  addk    r4, r3, r4
0x000001d8  addik   r3, r0, 4772
0x000001dc  addk    r3, r4, r3
0x000001e0  lhu     r3, r0, r3
0x000001e4  sext16  r5, r3
0x000001e8  lwi     r4, r19, 32
0x000001ec  lwi     r3, r19, 28
0x000001f0  rsubk   r4, r3, r4
0x000001f4  addk    r3, r4, r0
0x000001f8  addk    r4, r3, r4
0x000001fc  addik   r3, r0, 4772
0x00000200  addk    r3, r4, r3
0x00000204  lhu     r3, r0, r3
0x00000208  sext16  r3, r3
0x0000020c  mul     r4, r5, r3
0x00000210  lwi     r3, r19, 36
0x00000214  addk    r3, r3, r4
0x00000218  swi     r3, r19, 36
0x0000021c  lwi     r3, r19, 32
0x00000220  addik   r3, r3, 1
0x00000224  swi     r3, r19, 32
0x00000228  bri     -108
0x000001bc  lwi     r3, r19, 32
0x000001c0  addik   r18, r0, 159
0x000001c4  cmp     r18, r3, r18
0x000001c8  blti    r18, 100
0x000001cc  lwi     r4, r19, 32
0x000001d0  addk    r3, r4, r0
0x000001d4  addk    r4, r3, r4
0x000001d8  addik   r3, r0, 4772
0x000001dc  addk    r3, r4, r3
0x000001e0  lhu     r3, r0, r3
0x000001e4  sext16  r5, r3
0x000001e8  lwi     r4, r19, 32
0x000001ec  lwi     r3, r19, 28
0x000001f0  rsubk   r4, r3, r4
0x000001f4  addk    r3, r4, r0
0x000001f8  addk    r4, r3, r4
0x000001fc  addik   r3, r0, 4772
0x00000200  addk    r3, r4, r3
0x00000204  lhu     r3, r0, r3
0x00000208  sext16  r3, r3
0x0000020c  mul     r4, r5, r3
0x00000210  lwi     r3, r19, 36
0x00000214  addk    r3, r3, r4
0x00000218  swi     r3, r19, 36
0x0000021c  lwi     r3, r19, 32
0x00000220  addik   r3, r3, 1
0x00000224  swi     r3, r19, 32
0x00000228  bri     -108
0x000001bc  lwi     r3, r19, 32
0x000001c0  addik   r18, r0, 159
0x000001c4  cmp     r18, r3, r18
0x000001c8  blti    r18, 100
0x000001cc  lwi     r4, r19, 32
0x000001d0  addk    r3, r4, r0
0x000001d4  addk    r4, r3, r4
0x000001d8  addik   r3, r0, 4772
0x000001dc  addk    r3, r4, r3
0x000001e0  lhu     r3, r0, r3
0x000001e4  sext16  r5, r3
0x000001e8  lwi     r4, r19, 32
0x000001ec  lwi     r3, r19, 28
0x000001f0  rsubk   r4, r3, r4
0x000001f4  addk    r3, r4, r0
0x000001f8  addk    r4, r3, r4
0x000001fc  addik   r3, r0, 4772
0x00000200  addk    r3, r4, r3
0x00000204  lhu     r3, r0, r3
0x00000208  sext16  r3, r3
0x0000020c  mul     r4, r5, r3
0x00000210  lwi     r3, r19, 36
0x00000214  addk    r3, r3, r4
0x00000218  swi     r3, r19, 36
0x0000021c  lwi     r3, r19, 32
0x00000220  addik   r3, r3, 1
0x00000224  swi     r3, r19, 32
0x00000228  bri     -108
0x000001bc  lwi     r3, r19, 32
0x000001c0  addik   r18, r0, 159
0x000001c4  cmp     r18, r3, r18
0x000001c8  blti    r18, 100
0x000001cc  lwi     r4, r19, 32
0x000001d0  addk    r3, r4, r0
0x000001d4  addk    r4, r3, r4
0x000001d8  addik   r3, r0, 4772
0x000001dc  addk    r3, r4, r3
0x000001e0  lhu     r3, r0, r3
0x000001e4  sext16  r5, r3
0x000001e8  lwi     r4, r19, 32
0x000001ec  lwi     r3, r19, 28
0x000001f0  rsubk   r4, r3, r4
0x000001f4  addk    r3, r4, r0
0x000001f8  addk    r4, r3, r4
0x000001fc  addik   r3, r0, 4772
0x00000200  addk    r3, r4, r3
0x00000204  lhu     r3, r0, r3
0x00000208  sext16  r3, r3
0x0000020c  mul     r4, r5, r3
0x00000210  lwi     r3, r19, 36
0x00000214  addk    r3, r3, r4
0x00000218  swi     r3, r19, 36
0x0000021c  lwi     r3, r19, 32
0x00000220  addik   r3, r3, 1
0x00000224  swi     r3, r19, 32
0x00000228  bri     -108
0x000001bc  lwi     r3, r19, 32
0x000001c0  addik   r18, r0, 159
0x000001c4  cmp     r18, r3, r18
